payment_id,amount_inr,payment_method,card_network,is_promo_applied,account_age_days,past_order_count,past_refund_ratio,orders_in_last_30mins,device_account_count,ip_to_delivery_dist_km,is_payment_fraud,is_refund_abuse,is_high_risk
pay_Zom6708456,2059,card,rupay,0,131,20,0.053,0,1,3.4,0,0,0
pay_Zom5661907,252,upi,none,1,141,10,0.001,0,2,0.91,0,1,1
pay_Zom3608513,3360,upi,none,1,135,9,0.133,0,1,6.67,0,0,0
pay_Zom4612365,252,upi,none,0,96,7,0.009,0,1,1.6,0,0,0
pay_Zom6647119,2059,upi,none,0,365,39,0.036,0,1,0.89,0,0,0
pay_Zom2714803,2059,upi,none,0,84,2,0.048,1,2,5.28,0,0,0
pay_Zom2556017,252,netbanking,none,1,71,10,0.287,1,1,0.61,0,1,1
pay_Zom7374122,252,upi,none,1,34,1,0.064,0,1,10.69,0,0,0
pay_Zom2622631,3360,netbanking,none,0,12,0,0.147,1,1,0.95,1,0,1
pay_Zom7022674,252,netbanking,none,0,95,4,0.07,0,1,5.91,0,0,0
pay_Zom6770619,252,upi,none,0,45,5,0.051,0,1,2.55,0,0,0
pay_Zom5437923,252,upi,none,0,89,5,0.216,0,1,4.7,0,0,0
pay_Zom1728977,252,card,mastercard,0,27,2,0.101,0,1,0.52,0,0,0
pay_Zom8707870,252,card,visa,0,218,36,0.333,0,1,0.82,0,1,1
pay_Zom9996414,2059,upi,none,0,972,151,0.045,1,1,0.77,0,0,0
pay_Zom3094235,2059,netbanking,none,0,46,7,0.235,0,2,0.5,0,0,0
pay_Zom7350753,2059,upi,none,0,221,24,0.139,0,1,1.08,0,0,0
pay_Zom2322047,252,upi,none,0,247,39,0.025,0,2,6.41,0,0,0
pay_Zom5918715,252,upi,none,0,664,95,0.052,0,1,4.82,0,0,0
pay_Zom7067228,252,upi,none,0,50,8,0.13,0,1,1.28,0,0,0
pay_Zom4226067,2059,upi,none,1,169,5,0.071,0,1,1.59,0,1,1
pay_Zom2166941,252,upi,none,0,31,0,0.545,0,1,4.64,0,1,1
pay_Zom1768805,252,upi,none,1,117,5,0.213,0,1,6.08,0,0,0
pay_Zom4823498,252,upi,none,0,146,24,0.02,0,1,1.93,0,0,0
pay_Zom5855124,252,card,rupay,1,162,18,0.211,0,1,4.72,0,0,0
pay_Zom2338687,2059,card,rupay,1,27,2,0.201,0,1,2.95,0,0,0
pay_Zom4905582,252,card,visa,0,226,23,0.108,0,1,16.97,0,0,0
pay_Zom2694522,252,upi,none,0,65,9,0.158,0,1,4.11,0,0,0
pay_Zom7377459,3360,upi,none,0,29,4,0.07,0,1,4.69,0,0,0
pay_Zom5663623,2059,upi,none,1,93,12,0.004,0,1,6.48,0,0,0
pay_Zom8606962,252,upi,none,0,238,33,0.184,0,1,0.54,0,0,0
pay_Zom7120868,252,upi,none,0,409,29,0.064,0,2,1.6,0,0,0
pay_Zom3728882,252,card,mastercard,0,165,15,0.086,1,1,2.37,0,0,0
pay_Zom7210606,3360,netbanking,none,1,0,0,0.142,0,1,0.58,1,0,1
pay_Zom6960453,2059,upi,none,0,17,2,0.084,0,1,1.57,0,0,0
pay_Zom4514944,2059,card,rupay,0,9,1,0.163,0,1,4.05,0,0,0
pay_Zom5479144,252,upi,none,0,12,0,0.002,0,1,1.01,0,0,0
pay_Zom2197935,252,upi,none,0,57,1,0.115,1,1,2.3,0,0,0
pay_Zom3871230,3360,card,rupay,0,49,2,0.348,0,2,0.51,0,1,1
pay_Zom9961380,2059,upi,none,0,14,1,0.156,0,1,0.42,0,0,0
pay_Zom5107245,252,upi,none,1,256,27,0.256,0,1,1.6,0,1,1
pay_Zom3741438,252,card,amex,1,114,19,0.049,1,1,4.54,0,0,0
pay_Zom8755439,252,card,amex,1,191,25,0.385,0,1,2.61,0,1,1
pay_Zom7366205,252,card,visa,0,55,3,0.065,0,1,3.46,0,0,0
pay_Zom5528972,252,card,visa,1,63,2,0.192,0,1,1.81,0,0,0
pay_Zom4684531,252,netbanking,none,0,45,7,0.026,0,1,3.09,0,0,0
pay_Zom6440561,252,upi,none,0,69,6,0.048,1,1,2.32,0,0,0
pay_Zom1938483,252,upi,none,1,113,14,0.024,0,1,1.77,0,0,0
pay_Zom4842788,252,upi,none,1,81,8,0.085,0,1,0.09,0,0,0
pay_Zom1538552,2059,upi,none,0,218,8,0.099,0,1,6.53,0,0,0
pay_Zom6292423,2059,upi,none,1,276,8,0.108,0,1,10.65,0,1,1
pay_Zom7730428,2059,upi,none,1,76,6,0.011,0,1,2.64,0,0,0
pay_Zom5491946,3360,upi,none,0,32,2,0.129,0,1,2.07,0,0,0
pay_Zom2110460,2059,upi,none,0,348,44,0.079,1,6,5.06,1,0,1
pay_Zom4539704,3360,netbanking,none,1,159,19,0.066,0,1,0.05,0,0,0
pay_Zom6279418,2059,upi,none,0,122,21,0.015,1,1,0.52,0,0,0
pay_Zom4567281,252,upi,none,0,164,25,0.207,0,1,1.14,0,0,0
pay_Zom9375710,252,card,mastercard,1,9,0,0.249,0,1,0.31,0,0,0
pay_Zom7637601,252,card,mastercard,0,8,0,0.026,2,1,0.16,0,0,0
pay_Zom8698256,2059,upi,none,0,19,2,0.104,1,1,9.78,0,0,0
pay_Zom3396987,2059,upi,none,0,19,0,0.218,0,1,0.71,0,0,0
pay_Zom5443951,252,upi,none,0,65,11,0.173,1,1,3.15,0,0,0
pay_Zom3342608,252,upi,none,1,20,2,0.034,0,1,2.71,0,0,0
pay_Zom5137722,252,upi,none,0,231,38,0.087,0,3,1.18,1,0,1
pay_Zom5408072,252,card,rupay,0,103,18,0.443,0,1,3.65,0,0,0
pay_Zom8187926,3360,upi,none,1,55,6,0.036,0,1,1.38,0,0,0
pay_Zom7700828,2059,upi,none,1,8,0,0.08,0,6,2.14,0,1,1
pay_Zom7073292,2059,upi,none,0,107,11,0.091,1,1,1.68,0,0,0
pay_Zom4679591,252,netbanking,none,1,14,1,0.185,1,1,8.45,0,1,1
pay_Zom3320821,252,netbanking,none,0,163,23,0.128,0,1,9.33,0,0,0
pay_Zom9548432,252,upi,none,0,194,5,0.186,0,3,1.64,0,0,0
pay_Zom9279821,2059,upi,none,0,94,8,0.239,0,1,0.99,0,0,0
pay_Zom2525206,252,upi,none,0,19,3,0.13,0,1,4.67,0,0,0
pay_Zom1790481,252,upi,none,0,185,33,0.143,0,2,1.32,0,0,0
pay_Zom2839607,252,upi,none,0,44,2,0.005,0,1,2.29,0,0,0
pay_Zom3564251,2059,upi,none,0,30,4,0.164,0,1,2.75,0,0,0
pay_Zom3684052,252,upi,none,0,76,3,0.385,1,1,15.18,0,1,1
pay_Zom8082668,252,upi,none,0,307,47,0.108,0,1,1.69,0,0,0
pay_Zom2065818,2059,upi,none,0,42,2,0.057,0,1,1.85,0,0,0
pay_Zom7455324,252,upi,none,0,283,49,0.035,0,1,0.25,0,0,0
pay_Zom7402509,2059,upi,none,0,6,0,0.324,0,2,3.81,0,1,1
pay_Zom8852574,252,upi,none,0,10,0,0.05,0,1,0.74,0,0,0
pay_Zom9877065,252,card,amex,0,143,9,0.231,0,2,3.33,0,0,0
pay_Zom5218028,3360,upi,none,0,25,1,0.015,0,1,0.97,0,0,0
pay_Zom1192619,252,upi,none,0,45,5,0.111,0,1,10.12,0,0,0
pay_Zom2921859,2059,upi,none,1,17,2,0.025,0,1,0.29,0,0,0
pay_Zom5476583,2059,upi,none,1,48,6,0.059,0,1,9.3,0,0,0
pay_Zom6707197,2059,upi,none,1,39,5,0.243,0,1,2.8,0,0,0
pay_Zom2871534,252,upi,none,0,159,23,0.082,0,1,9.68,0,0,0
pay_Zom5924115,252,upi,none,0,145,25,0.125,0,1,2.38,0,0,0
pay_Zom8294150,252,card,mastercard,0,371,52,0.053,0,1,0.16,0,0,0
pay_Zom3653446,252,card,rupay,1,154,8,0.007,1,1,0.77,0,1,1
pay_Zom8612220,252,netbanking,none,0,142,20,0.14,0,1,1.52,0,0,0
pay_Zom1054447,2059,netbanking,none,0,142,10,0.021,0,1,9.71,0,0,0
pay_Zom5418934,252,upi,none,0,257,46,0.174,0,1,4.98,0,0,0
pay_Zom9398441,252,netbanking,none,1,42,3,0.156,0,1,3.22,0,0,0
pay_Zom3997281,252,card,rupay,0,42,2,0.041,0,1,2.03,0,0,0
pay_Zom9517485,3360,upi,none,0,162,9,0.102,0,1,2.07,0,0,0
pay_Zom2785277,252,upi,none,1,31,3,0.03,0,1,3.7,0,0,0
pay_Zom6007072,2059,card,visa,0,291,10,0.076,1,1,4.46,0,0,0
pay_Zom9517169,252,upi,none,0,91,15,0.03,0,1,2.27,0,1,1
pay_Zom4337174,252,card,amex,0,42,2,0.074,1,1,5.6,0,0,0
pay_Zom3564217,252,upi,none,0,179,12,0.048,0,1,2.6,0,0,0
pay_Zom7273233,252,upi,none,0,44,1,0.126,1,2,2.53,0,0,0
pay_Zom3710343,252,upi,none,0,396,23,0.195,0,1,3.66,0,0,0
pay_Zom9897858,252,upi,none,0,488,42,0.033,0,1,5.53,0,0,0
pay_Zom1009594,2059,upi,none,1,131,10,0.16,0,1,3.18,0,0,0
pay_Zom6438436,252,upi,none,0,14,0,0.203,0,1,8.97,0,0,0
pay_Zom9197443,252,upi,none,0,36,0,0.051,1,1,7.32,0,0,0
pay_Zom1326765,252,upi,none,0,86,5,0.182,0,1,5.14,0,0,0
pay_Zom2876828,252,upi,none,1,228,32,0.114,0,1,2.17,0,0,0
pay_Zom7089806,252,card,rupay,0,24,2,0.015,1,1,3.32,0,0,0
pay_Zom6159230,252,card,visa,0,13,0,0.202,0,1,2.47,0,0,0
pay_Zom5017343,252,upi,none,0,9,0,0.058,0,2,0.02,0,1,1
pay_Zom1971823,252,upi,none,0,84,9,0.117,0,1,3.81,0,0,0
pay_Zom5041154,252,upi,none,0,259,17,0.161,0,1,8.65,0,0,0
pay_Zom2321324,2059,netbanking,none,1,5,0,0.105,0,1,2.56,0,0,0
pay_Zom2437026,2059,card,rupay,0,28,4,0.154,0,1,0.65,0,0,0
pay_Zom9153566,252,upi,none,1,141,3,0.033,0,1,2.15,0,0,0
pay_Zom2161193,3360,upi,none,0,209,9,0.06,0,1,0.01,0,0,0
pay_Zom9937326,252,card,amex,1,197,9,0.022,1,2,4.71,0,0,0
pay_Zom3109911,3360,card,rupay,0,184,16,0.005,0,2,3.86,0,0,0
pay_Zom3154051,252,card,rupay,0,16,0,0.007,0,1,3.69,0,0,0
pay_Zom8973915,252,card,mastercard,0,60,5,0.095,1,1,1.99,0,0,0
pay_Zom3770370,252,upi,none,0,501,84,0.307,0,2,1.74,0,1,1
pay_Zom5446912,2059,upi,none,1,539,11,0.208,0,2,1.11,0,0,0
pay_Zom9852897,2059,upi,none,0,110,8,0.066,0,1,8.67,0,0,0
pay_Zom8099076,252,upi,none,0,148,20,0.294,0,1,1.61,0,1,1
pay_Zom4553384,252,upi,none,0,362,16,0.139,1,1,2.83,0,1,1
pay_Zom4374754,252,upi,none,1,71,2,0.092,0,1,2.14,0,0,0
pay_Zom6229731,252,upi,none,0,17,2,0.159,0,1,3.78,0,0,0
pay_Zom7693979,252,upi,none,1,132,2,0.131,0,1,14.01,0,0,0
pay_Zom7264956,252,upi,none,1,386,57,0.148,2,1,3.04,0,0,0
pay_Zom8350099,252,upi,none,1,143,4,0.016,0,1,1.83,0,0,0
pay_Zom9683481,2059,upi,none,0,195,20,0.142,0,1,3.26,0,0,0
pay_Zom8574680,252,card,mastercard,0,65,8,0.0,0,1,0.12,0,0,0
pay_Zom3030113,3360,card,visa,0,12,0,0.176,0,1,8.22,0,0,0
pay_Zom5159166,252,upi,none,1,22,0,0.004,0,1,0.64,0,0,0
pay_Zom4769795,2059,upi,none,1,486,23,0.095,1,1,2.72,0,0,0
pay_Zom2074176,2059,upi,none,0,81,12,0.035,0,3,1.67,0,0,0
pay_Zom6672134,252,card,rupay,1,1,0,0.076,0,3,6.66,1,0,1
pay_Zom1352896,252,upi,none,0,373,19,0.193,0,1,11.52,0,0,0
pay_Zom4860684,2059,upi,none,0,82,11,0.019,0,1,0.22,0,0,0
pay_Zom4694634,2059,card,visa,0,217,28,0.053,0,1,0.81,0,0,0
pay_Zom1120642,252,upi,none,1,95,17,0.199,1,3,6.62,0,0,0
pay_Zom2191066,252,upi,none,1,12,0,0.069,0,1,2.12,0,1,1
pay_Zom1987737,2059,upi,none,1,114,18,0.181,0,1,3.5,0,0,0
pay_Zom4841005,2059,upi,none,1,714,65,0.028,0,1,1.62,0,0,0
pay_Zom2130789,252,upi,none,0,4,0,0.038,0,1,2.67,0,0,0
pay_Zom1527021,252,card,amex,1,221,7,0.024,0,1,1.09,0,0,0
pay_Zom6543670,3360,upi,none,0,32,1,0.083,0,2,3.12,0,0,0
pay_Zom2188789,252,card,visa,1,60,9,0.224,0,1,1.99,0,0,0
pay_Zom9626108,252,upi,none,1,55,8,0.193,0,1,4.0,0,0,0
pay_Zom4993055,2059,upi,none,0,274,18,0.17,1,1,3.28,0,0,0
pay_Zom5672073,2059,upi,none,0,84,9,0.136,0,2,0.5,0,1,1
pay_Zom9143903,2059,upi,none,0,71,5,0.056,0,1,0.74,0,0,0
pay_Zom4594297,252,upi,none,1,204,4,0.015,2,1,0.08,0,0,0
pay_Zom3219824,252,upi,none,0,6,0,0.164,0,1,1.55,0,0,0
pay_Zom8930103,2059,card,rupay,0,10,0,0.012,0,1,1.12,0,0,0
pay_Zom5076817,252,upi,none,1,2,0,0.039,0,1,0.3,0,0,0
pay_Zom8935169,252,upi,none,0,139,8,0.175,0,1,3.97,0,0,0
pay_Zom7829332,3360,upi,none,0,89,3,0.02,0,1,4.41,0,0,0
pay_Zom4194548,252,upi,none,0,250,42,0.036,0,1,3.8,0,0,0
pay_Zom2582524,252,upi,none,0,82,3,0.043,0,1,0.93,0,0,0
pay_Zom2626229,3360,upi,none,1,30,3,0.02,0,1,3.46,0,0,0
pay_Zom8231838,3360,upi,none,0,196,31,0.061,0,1,1.67,0,0,0
pay_Zom6944126,252,upi,none,0,41,1,0.085,0,1,0.04,0,0,0
pay_Zom8106470,2059,card,mastercard,0,329,17,0.033,0,1,12.0,0,0,0
pay_Zom7897151,252,upi,none,0,34,3,0.229,0,1,4.43,0,0,0
pay_Zom8835373,252,upi,none,1,22,2,0.03,0,1,0.95,0,0,0
pay_Zom1908841,2059,card,mastercard,1,81,8,0.065,0,2,1.3,0,1,1
pay_Zom2651177,2059,netbanking,none,0,6,0,0.164,0,1,7.99,0,0,0
pay_Zom2016911,2059,card,visa,0,4,0,0.219,0,1,1.03,0,0,0
pay_Zom7754864,252,upi,none,0,82,2,0.072,0,1,0.34,0,0,0
pay_Zom6692553,2059,card,mastercard,0,29,4,0.087,0,2,6.44,0,1,1
pay_Zom2833230,2059,upi,none,0,1,0,0.054,0,1,4.19,0,0,0
pay_Zom5171761,3360,upi,none,1,42,3,0.054,1,1,2.74,0,0,0
pay_Zom4214348,2059,card,rupay,0,77,2,0.091,0,1,2.83,0,0,0
pay_Zom4191175,2059,upi,none,0,60,5,0.018,0,1,4.07,0,0,0
pay_Zom9997381,252,netbanking,none,0,17,2,0.131,0,1,8.46,0,0,0
pay_Zom8526486,252,card,rupay,0,104,3,0.115,0,1,6.05,0,1,1
pay_Zom3351868,3360,upi,none,1,148,9,0.025,0,1,0.93,0,0,0
pay_Zom8077999,3360,card,amex,0,135,10,0.038,1,1,3.61,0,0,0
pay_Zom4078418,252,upi,none,0,60,2,0.291,0,1,3.89,0,1,1
pay_Zom5673212,252,upi,none,0,17,2,0.021,1,1,6.03,0,0,0
pay_Zom8761611,252,card,mastercard,1,83,12,0.112,1,1,8.47,0,0,0
pay_Zom5191056,252,card,mastercard,0,265,40,0.13,0,1,0.21,0,0,0
pay_Zom2264748,3360,card,amex,1,75,8,0.024,0,1,0.35,0,0,0
pay_Zom8434500,252,card,visa,0,26,2,0.065,0,1,0.35,0,0,0
pay_Zom2642635,252,netbanking,none,1,11,0,0.115,1,1,4.12,0,1,1
pay_Zom1848731,252,card,amex,1,345,43,0.069,1,1,9.22,0,0,0
pay_Zom1247595,252,upi,none,0,163,14,0.354,0,1,3.05,0,1,1
pay_Zom2564689,252,upi,none,1,45,7,0.017,0,2,2.94,0,0,0
pay_Zom4965789,2059,card,mastercard,0,42,7,0.099,0,1,6.41,0,0,0
pay_Zom3790237,2059,upi,none,0,270,44,0.066,0,1,17.02,0,0,0
pay_Zom7818496,252,upi,none,0,23,1,0.278,1,1,9.96,0,0,0
pay_Zom9147706,252,upi,none,0,91,7,0.082,0,1,3.27,0,0,0
pay_Zom9075854,252,card,visa,0,150,23,0.054,0,3,20.96,0,0,0
pay_Zom4586084,2059,card,rupay,1,60,8,0.008,1,1,4.5,0,0,0
pay_Zom7728339,252,upi,none,1,4,0,0.159,0,1,4.22,0,0,0
pay_Zom1983738,252,upi,none,0,31,2,0.005,0,1,0.36,0,0,0
pay_Zom3762152,3360,card,rupay,1,278,42,0.393,0,2,1.23,0,1,1
pay_Zom7358113,252,upi,none,0,88,9,0.089,0,2,3.06,0,0,0
pay_Zom1036161,3360,upi,none,0,202,18,0.196,0,1,4.19,0,0,0
pay_Zom7550190,252,upi,none,1,97,15,0.074,0,1,0.79,0,0,0
pay_Zom5449368,252,upi,none,0,345,28,0.071,0,1,5.79,0,0,0
pay_Zom8633773,2059,upi,none,0,287,35,0.383,0,1,7.3,0,0,0
pay_Zom5785687,2059,upi,none,1,79,7,0.091,3,1,6.68,1,0,1
pay_Zom8096887,2059,upi,none,0,45,5,0.015,1,1,2.7,0,0,0
pay_Zom9164991,252,netbanking,none,0,110,2,0.125,0,1,1.45,0,0,0
pay_Zom3597059,252,upi,none,0,134,12,0.235,0,1,6.46,0,0,0
pay_Zom4185957,252,upi,none,0,82,8,0.091,0,1,4.74,0,0,0
pay_Zom5977931,2059,upi,none,1,207,20,0.159,0,1,0.14,0,0,0
pay_Zom4652414,252,upi,none,0,24,3,0.016,0,1,2.43,0,0,0
pay_Zom1981186,3360,upi,none,0,48,3,0.039,0,2,6.06,0,0,0
pay_Zom2022698,252,upi,none,0,139,22,0.024,0,1,2.95,0,0,0
pay_Zom6261415,252,upi,none,0,33,2,0.166,1,1,1.09,0,0,0
pay_Zom1959074,2059,upi,none,0,69,9,0.156,0,1,0.06,0,0,0
pay_Zom1841248,2059,card,amex,0,398,13,0.103,0,1,0.9,0,0,0
pay_Zom8999183,3360,upi,none,0,117,6,0.286,0,1,3.31,0,1,1
pay_Zom9436429,252,upi,none,0,357,50,0.021,0,1,1.02,0,0,0
pay_Zom9910817,252,card,rupay,0,153,3,0.144,0,1,0.04,0,0,0
pay_Zom3641282,252,upi,none,1,154,26,0.159,0,1,0.25,0,1,1
pay_Zom1954280,3360,card,mastercard,1,107,5,0.11,0,1,1.67,0,0,0
pay_Zom9519948,252,netbanking,none,1,18,2,0.14,0,1,2.19,0,0,0
pay_Zom2344047,252,upi,none,0,88,9,0.347,0,1,4.98,0,1,1
pay_Zom4117625,252,netbanking,none,0,34,3,0.052,0,1,2.73,0,0,0
pay_Zom2149597,252,card,amex,1,794,26,0.152,0,1,5.28,0,0,0
pay_Zom2140194,252,netbanking,none,0,37,2,0.191,0,1,0.57,0,0,0
pay_Zom4946066,252,card,mastercard,0,31,1,0.075,0,1,1.51,0,0,0
pay_Zom7774229,252,upi,none,1,117,12,0.235,0,1,2.55,0,0,0
pay_Zom3011363,2059,card,mastercard,1,85,9,0.003,0,1,0.06,0,0,0
pay_Zom5130808,3360,upi,none,1,2,0,0.046,0,1,11.34,0,0,0
pay_Zom1666754,252,upi,none,1,16,2,0.182,0,1,8.96,0,0,0
pay_Zom2375453,252,upi,none,0,199,18,0.082,0,1,3.82,0,0,0
pay_Zom8033426,2059,upi,none,0,79,4,0.108,0,1,0.84,0,0,0
pay_Zom9770838,252,upi,none,1,18,1,0.052,0,1,0.52,0,0,0
pay_Zom6307805,252,card,visa,0,75,11,0.157,0,1,7.67,0,0,0
pay_Zom5374922,252,netbanking,none,1,35,1,0.002,0,1,1.19,0,0,0
pay_Zom4426900,252,upi,none,0,30,3,0.065,0,1,1.65,0,0,0
pay_Zom6271130,2059,netbanking,none,0,379,8,0.052,0,2,1.76,0,1,1
pay_Zom5004485,252,netbanking,none,1,53,3,0.111,0,1,0.84,0,0,0
pay_Zom5456272,2059,upi,none,0,5,0,0.184,1,1,4.51,0,0,0
pay_Zom7640184,252,upi,none,1,422,39,0.185,0,1,3.0,0,0,0
pay_Zom3195773,252,card,visa,0,190,18,0.089,0,1,7.69,0,0,0
pay_Zom6033115,252,upi,none,1,35,4,0.04,2,1,0.87,0,0,0
pay_Zom8670955,252,card,visa,0,63,3,0.467,0,1,1.45,0,1,1
pay_Zom6304573,2059,card,rupay,0,237,15,0.036,0,1,2.39,0,0,0
pay_Zom2217071,252,upi,none,0,53,6,0.002,0,1,2.24,0,0,0
pay_Zom1156287,252,upi,none,0,100,10,0.001,0,2,13.99,0,0,0
pay_Zom8688755,2059,upi,none,1,91,2,0.171,0,2,3.17,0,0,0
pay_Zom2677407,252,upi,none,0,61,7,0.123,1,1,1.85,0,0,0
pay_Zom2229110,252,upi,none,0,122,14,0.104,0,1,1.18,0,0,0
pay_Zom4576135,252,card,visa,0,76,2,0.304,1,1,3.01,0,0,0
pay_Zom9487336,252,upi,none,0,2,0,0.167,1,2,2.77,0,0,0
pay_Zom5449324,2059,netbanking,none,0,202,20,0.268,0,1,2.48,0,1,1
pay_Zom3222252,252,upi,none,0,14,0,0.105,0,1,10.07,0,0,0
pay_Zom6855396,252,card,mastercard,0,74,8,0.009,0,1,2.46,0,0,0
pay_Zom2154126,252,card,amex,1,104,11,0.132,0,1,0.91,0,0,0
pay_Zom5098412,2059,netbanking,none,0,146,24,0.257,0,1,0.59,0,1,1
pay_Zom7199635,252,card,amex,1,63,8,0.014,1,1,8.41,0,0,0
pay_Zom5781295,252,upi,none,0,159,10,0.132,0,1,21.47,0,0,0
pay_Zom3646552,3360,netbanking,none,0,16,0,0.012,0,1,3.14,0,0,0
pay_Zom8351517,2059,card,mastercard,0,127,19,0.06,0,1,4.55,0,0,0
pay_Zom6075395,2059,upi,none,0,210,32,0.07,1,1,1.91,0,0,0
pay_Zom9874152,252,card,rupay,0,264,12,0.073,0,1,6.93,0,0,0
pay_Zom1131249,252,card,amex,1,103,3,0.062,0,1,1.49,0,0,0
pay_Zom6022741,252,upi,none,0,45,6,0.162,0,6,0.07,0,0,0
pay_Zom2737893,252,upi,none,1,21,2,0.414,0,1,0.14,0,1,1
pay_Zom3253031,252,card,mastercard,0,50,2,0.032,0,1,6.11,0,0,0
pay_Zom5437001,2059,card,mastercard,0,93,11,0.116,1,1,1.91,0,0,0
pay_Zom2936571,252,upi,none,0,26,1,0.064,0,2,12.02,0,0,0
pay_Zom2795765,3360,upi,none,1,365,22,0.114,0,2,1.89,0,1,1
pay_Zom3607983,252,upi,none,0,272,19,0.172,0,1,10.21,0,0,0
pay_Zom5569244,2059,card,mastercard,1,4,0,0.125,0,1,2.23,0,0,0
pay_Zom5727085,252,card,amex,0,99,14,0.167,0,2,4.48,0,0,0
pay_Zom4533779,252,upi,none,0,186,18,0.147,0,1,1.21,0,0,0
pay_Zom6752576,2059,upi,none,0,33,2,0.061,0,1,2.79,0,0,0
pay_Zom4415796,252,upi,none,1,89,14,0.096,0,2,1.38,0,0,0
pay_Zom5428914,252,card,amex,1,62,1,0.14,0,1,3.95,0,0,0
pay_Zom9479356,3360,upi,none,0,26,3,0.004,1,1,0.9,0,0,0
pay_Zom9196204,2059,upi,none,1,114,16,0.078,1,2,1.55,0,1,1
pay_Zom5213115,252,upi,none,0,607,36,0.001,0,1,3.52,0,0,0
pay_Zom1852264,252,upi,none,1,54,2,0.116,0,1,1.27,0,0,0
pay_Zom2548511,252,upi,none,1,96,15,0.021,0,1,1.15,0,1,1
pay_Zom8106422,2059,upi,none,1,47,5,0.031,0,2,1.68,0,1,1
pay_Zom5641923,252,netbanking,none,1,251,6,0.061,0,1,3.4,0,1,1
pay_Zom1739653,252,upi,none,0,239,38,0.113,0,1,1.42,0,0,0
pay_Zom1059486,252,upi,none,0,23,1,0.047,0,1,2.0,0,0,0
pay_Zom6596150,252,netbanking,none,0,276,20,0.144,2,1,0.07,0,0,0
pay_Zom3194789,2059,upi,none,0,19,2,0.591,0,2,4.21,0,1,1
pay_Zom5394880,252,upi,none,0,12,1,0.015,0,1,5.85,0,0,0
pay_Zom3710895,3360,upi,none,0,126,9,0.092,0,1,6.14,0,0,0
pay_Zom8412769,252,card,visa,0,58,2,0.03,0,1,2.79,0,0,0
pay_Zom8175395,252,upi,none,0,90,9,0.178,0,1,1.94,0,0,0
pay_Zom1162230,252,card,visa,0,126,15,0.081,0,1,0.72,0,1,1
pay_Zom2876932,252,upi,none,0,6,0,0.045,0,1,3.73,0,0,0
pay_Zom2262382,3360,upi,none,1,41,3,0.032,0,1,3.01,0,0,0
pay_Zom3500715,2059,card,mastercard,0,74,9,0.098,0,1,1.97,0,0,0
pay_Zom1604451,252,netbanking,none,1,37,1,0.249,0,1,3.34,0,0,0
pay_Zom7194416,2059,upi,none,0,6,0,0.081,0,1,10.8,0,0,0
pay_Zom3484601,252,card,mastercard,0,10,0,0.061,1,1,0.51,0,0,0
pay_Zom8210624,2059,upi,none,0,194,23,0.038,0,1,11.7,0,0,0
pay_Zom3138181,252,upi,none,0,290,48,0.242,0,1,2.96,0,0,0
pay_Zom1701771,252,upi,none,0,19,2,0.076,2,1,6.24,0,0,0
pay_Zom6171716,252,upi,none,0,34,4,0.06,1,2,17.76,0,0,0
